
========================================================================
RUN STARTED  2026-06-16 22:16:01
site_pipeline.py https://www.bluequbit.io/
========================================================================

[22:16:01 +0s | bluequbit] === 0 crawl site ===
[22:16:06 +3s | bluequbit] [INIT].... → Crawl4AI 0.8.6 
[22:16:08 +4s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.28s 
[22:55:56 +36m 53s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 1/13
[22:56:04 +37m 1s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 2/13
[22:56:11 +37m 8s | bluequbit] Repaired malformed JSON.
[22:56:11 +37m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 3/13
[22:56:17 +37m 14s | bluequbit] Repaired malformed JSON.
[22:56:17 +37m 14s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 4/13
[22:56:27 +37m 22s | bluequbit] Repaired malformed JSON.
[22:56:27 +37m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 5/13
[22:56:32 +37m 27s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 6/13
[22:56:37 +37m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 7/13
[22:56:45 +37m 39s | bluequbit] Repaired malformed JSON.
[22:56:45 +37m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 8/13
[22:56:52 +37m 47s | bluequbit] Repaired malformed JSON.
[22:56:52 +37m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 9/13
[22:57:04 +37m 57s | bluequbit] Repaired malformed JSON.
[22:57:04 +37m 57s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 10/13
[22:57:14 +38m 6s | bluequbit] Repaired malformed JSON.
[22:57:14 +38m 6s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 11/13
[22:57:18 +38m 11s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 12/13
[22:57:23 +38m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-error-correction (27/46), chunk 13/13
[22:57:32 +38m 25s | bluequbit] Repaired malformed JSON.
[22:57:32 +38m 25s | bluequbit] Reading page (28/46): https://www.bluequbit.io/blog/quantum-computing-companies
[22:57:32 +38m 25s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 1/18
[22:57:41 +38m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 2/18
[22:57:45 +38m 36s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 3/18
[22:57:55 +38m 45s | bluequbit] Repaired malformed JSON.
[22:57:55 +38m 45s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 4/18
[22:58:02 +38m 53s | bluequbit] Repaired malformed JSON.
[22:58:02 +38m 53s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 5/18
[22:58:14 +39m 2s | bluequbit] Repaired malformed JSON.
[22:58:14 +39m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 6/18
[22:58:20 +39m 9s | bluequbit] Repaired malformed JSON.
[22:58:20 +39m 9s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 7/18
[22:58:28 +39m 16s | bluequbit] Repaired malformed JSON.
[22:58:28 +39m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 8/18
[22:58:37 +39m 26s | bluequbit] Repaired malformed JSON.
[22:58:37 +39m 26s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 9/18
[22:58:49 +39m 35s | bluequbit] Repaired malformed JSON.
[22:58:49 +39m 35s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 10/18
[22:58:58 +39m 44s | bluequbit] Repaired malformed JSON.
[22:58:58 +39m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 11/18
[22:59:06 +39m 52s | bluequbit] Repaired malformed JSON.
[22:59:06 +39m 52s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 12/18
[22:59:15 +40m 1s | bluequbit] Repaired malformed JSON.
[22:59:15 +40m 1s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 13/18
[22:59:24 +40m 8s | bluequbit] Repaired malformed JSON.
[22:59:24 +40m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 14/18
[22:59:29 +40m 13s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 15/18
[22:59:36 +40m 19s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 16/18
[22:59:44 +40m 27s | bluequbit] Repaired malformed JSON.
[22:59:44 +40m 27s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 17/18
[22:59:52 +40m 36s | bluequbit] Repaired malformed JSON.
[22:59:52 +40m 36s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-companies (28/46), chunk 18/18
[23:00:00 +40m 42s | bluequbit] Reading page (29/46): https://www.bluequbit.io/free-access
[23:00:00 +40m 42s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 1/8
[23:00:09 +40m 50s | bluequbit] Repaired malformed JSON.
[23:00:09 +40m 50s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 2/8
[23:00:19 +41m 1s | bluequbit] Repaired malformed JSON.
[23:00:19 +41m 1s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 3/8
[23:00:30 +41m 9s | bluequbit] Repaired malformed JSON.
[23:00:30 +41m 9s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 4/8
[23:00:39 +41m 18s | bluequbit] Repaired malformed JSON.
[23:00:39 +41m 18s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 5/8
[23:00:44 +41m 24s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 6/8
[23:00:49 +41m 29s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 7/8
[23:00:58 +41m 37s | bluequbit] Repaired malformed JSON.
[23:00:58 +41m 37s | bluequbit] Extracting: https://www.bluequbit.io/free-access (29/46), chunk 8/8
[23:01:08 +41m 45s | bluequbit] Repaired malformed JSON.
[23:01:08 +41m 46s | bluequbit] Reading page (30/46): https://www.bluequbit.io/blog/quantum-internet
[23:01:08 +41m 46s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 1/19
[23:01:13 +41m 50s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 2/19
[23:01:18 +41m 56s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 3/19
[23:01:22 +41m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 4/19
[23:01:25 +42m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 5/19
[23:01:31 +42m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 6/19
[23:01:39 +42m 14s | bluequbit] Repaired malformed JSON.
[23:01:39 +42m 14s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 7/19
[23:01:45 +42m 20s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 8/19
[23:01:50 +42m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 9/19
[23:01:54 +42m 29s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 10/19
[23:01:58 +42m 33s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 11/19
[23:02:04 +42m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 12/19
[23:02:17 +42m 50s | bluequbit] Repaired malformed JSON.
[23:02:17 +42m 50s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 13/19
[23:02:28 +43m 0s | bluequbit] Repaired malformed JSON.
[23:02:28 +43m 0s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 14/19
[23:02:36 +43m 8s | bluequbit] Repaired malformed JSON.
[23:02:36 +43m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 15/19
[23:02:48 +43m 19s | bluequbit] Repaired malformed JSON.
[23:02:48 +43m 19s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 16/19
[23:03:01 +43m 32s | bluequbit] Repaired malformed JSON.
[23:03:01 +43m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 17/19
[23:03:12 +43m 43s | bluequbit] Repaired malformed JSON.
[23:03:12 +43m 43s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 18/19
[23:03:27 +43m 58s | bluequbit] Repaired malformed JSON.
[23:03:27 +43m 58s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-internet (30/46), chunk 19/19
[23:03:51 +44m 22s | bluequbit] Repaired malformed JSON.
[23:03:51 +44m 22s | bluequbit] Reading page (31/46): https://www.bluequbit.io/blog/quantum-computing-and-ai
[23:03:51 +44m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 1/13
[23:03:57 +44m 28s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 2/13
[23:04:03 +44m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 3/13
[23:04:10 +44m 41s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 4/13
[23:04:17 +44m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 5/13
[23:04:25 +44m 55s | bluequbit] Repaired malformed JSON.
[23:04:25 +44m 55s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 6/13
[23:04:35 +45m 4s | bluequbit] Repaired malformed JSON.
[23:04:35 +45m 4s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 7/13
[23:04:44 +45m 12s | bluequbit] Repaired malformed JSON.
[23:04:44 +45m 12s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 8/13
[23:04:54 +45m 22s | bluequbit] Repaired malformed JSON.
[23:04:54 +45m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 9/13
[23:05:03 +45m 29s | bluequbit] Repaired malformed JSON.
[23:05:03 +45m 29s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 10/13
[23:05:10 +45m 37s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 11/13
[23:05:18 +45m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 12/13
[23:05:25 +45m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-and-ai (31/46), chunk 13/13
[23:05:31 +45m 58s | bluequbit] Reading page (32/46): https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits
[23:05:31 +45m 58s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 1/20
[23:05:41 +46m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 2/20
[23:05:52 +46m 16s | bluequbit] Repaired malformed JSON.
[23:05:52 +46m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 3/20
[23:06:00 +46m 24s | bluequbit] Repaired malformed JSON.
[23:06:00 +46m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 4/20
[23:06:12 +46m 34s | bluequbit] Repaired malformed JSON.
[23:06:12 +46m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 5/20
[23:06:23 +46m 45s | bluequbit] Repaired malformed JSON.
[23:06:23 +46m 45s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 6/20
[23:06:27 +46m 49s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 7/20
[23:06:36 +46m 58s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 8/20
[23:06:48 +47m 7s | bluequbit] Repaired malformed JSON.
[23:06:48 +47m 7s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 9/20
[23:06:55 +47m 14s | bluequbit] Repaired malformed JSON.
[23:06:55 +47m 14s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 10/20
[23:07:04 +47m 23s | bluequbit] Repaired malformed JSON.
[23:07:04 +47m 23s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 11/20
[23:07:13 +47m 32s | bluequbit] Repaired malformed JSON.
[23:07:13 +47m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 12/20
[23:07:22 +47m 40s | bluequbit] Repaired malformed JSON.
[23:07:22 +47m 40s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 13/20
[23:07:29 +47m 46s | bluequbit] Repaired malformed JSON.
[23:07:29 +47m 46s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 14/20
[23:07:35 +47m 53s | bluequbit] Repaired malformed JSON.
[23:07:35 +47m 53s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 15/20
[23:07:43 +48m 0s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 16/20
[23:07:44 +48m 1s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 17/20
[23:07:53 +48m 10s | bluequbit] Repaired malformed JSON.
[23:07:53 +48m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 18/20
[23:08:01 +48m 18s | bluequbit] Repaired malformed JSON.
[23:08:01 +48m 18s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 19/20
[23:08:13 +48m 28s | bluequbit] Repaired malformed JSON.
[23:08:13 +48m 28s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits (32/46), chunk 20/20
[23:08:23 +48m 38s | bluequbit] Repaired malformed JSON.
[23:08:23 +48m 38s | bluequbit] Reading page (33/46): https://www.bluequbit.io/blog/quantum-computing-applications
[23:08:23 +48m 38s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 1/21
[23:08:28 +48m 42s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 2/21
[23:08:36 +48m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 3/21
[23:08:46 +48m 59s | bluequbit] Repaired malformed JSON.
[23:08:46 +48m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 4/21
[23:08:52 +49m 5s | bluequbit] Repaired malformed JSON.
[23:08:52 +49m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 5/21
[23:09:00 +49m 13s | bluequbit] Repaired malformed JSON.
[23:09:00 +49m 13s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 6/21
[23:09:07 +49m 20s | bluequbit] Repaired malformed JSON.
[23:09:07 +49m 20s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 7/21
[23:09:14 +49m 27s | bluequbit] Repaired malformed JSON.
[23:09:14 +49m 27s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 8/21
[23:09:23 +49m 34s | bluequbit] Repaired malformed JSON.
[23:09:23 +49m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 9/21
[23:09:33 +49m 44s | bluequbit] Repaired malformed JSON.
[23:09:33 +49m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 10/21
[23:09:41 +49m 52s | bluequbit] Repaired malformed JSON.
[23:09:41 +49m 52s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 11/21
[23:09:49 +49m 59s | bluequbit] Repaired malformed JSON.
[23:09:49 +49m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 12/21
[23:09:58 +50m 7s | bluequbit] Repaired malformed JSON.
[23:09:58 +50m 7s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 13/21
[23:10:07 +50m 16s | bluequbit] Repaired malformed JSON.
[23:10:07 +50m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 14/21
[23:10:17 +50m 25s | bluequbit] Repaired malformed JSON.
[23:10:17 +50m 25s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 15/21
[23:10:23 +50m 32s | bluequbit] Repaired malformed JSON.
[23:10:23 +50m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 16/21
[23:10:35 +50m 42s | bluequbit] Repaired malformed JSON.
[23:10:35 +50m 42s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 17/21
[23:10:44 +50m 51s | bluequbit] Repaired malformed JSON.
[23:10:44 +50m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 18/21
[23:10:52 +50m 59s | bluequbit] Repaired malformed JSON.
[23:10:52 +50m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 19/21
[23:10:58 +51m 5s | bluequbit] Repaired malformed JSON.
[23:10:58 +51m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 20/21
[23:11:07 +51m 11s | bluequbit] Repaired malformed JSON.
[23:11:07 +51m 11s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-applications (33/46), chunk 21/21
[23:11:13 +51m 18s | bluequbit] Repaired malformed JSON.
[23:11:14 +51m 18s | bluequbit] Reading page (34/46): https://www.bluequbit.io/blog/google-quantum-computer
[23:11:14 +51m 18s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 1/22
[23:11:22 +51m 27s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 2/22
[23:11:29 +51m 34s | bluequbit] Repaired malformed JSON.
[23:11:29 +51m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 3/22
[23:11:40 +51m 42s | bluequbit] Repaired malformed JSON.
[23:11:40 +51m 42s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 4/22
[23:11:49 +51m 51s | bluequbit] Repaired malformed JSON.
[23:11:49 +51m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 5/22
[23:11:56 +51m 58s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 6/22
[23:12:03 +52m 6s | bluequbit] Repaired malformed JSON.
[23:12:03 +52m 6s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 7/22
[23:12:09 +52m 11s | bluequbit] Repaired malformed JSON.
[23:12:09 +52m 11s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 8/22
[23:12:18 +52m 17s | bluequbit] Repaired malformed JSON.
[23:12:18 +52m 17s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 9/22
[23:12:25 +52m 25s | bluequbit] Repaired malformed JSON.
[23:12:25 +52m 25s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 10/22
[23:12:33 +52m 33s | bluequbit] Repaired malformed JSON.
[23:12:33 +52m 33s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 11/22
[23:12:38 +52m 38s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 12/22
[23:12:45 +52m 45s | bluequbit] Repaired malformed JSON.
[23:12:45 +52m 45s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 13/22
[23:12:53 +52m 50s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 14/22
[23:13:01 +52m 58s | bluequbit] Repaired malformed JSON.
[23:13:01 +52m 58s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 15/22
[23:13:09 +53m 7s | bluequbit] Repaired malformed JSON.
[23:13:09 +53m 7s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 16/22
[23:13:14 +53m 11s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 17/22
[23:13:23 +53m 18s | bluequbit] Repaired malformed JSON.
[23:13:23 +53m 18s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 18/22
[23:13:32 +53m 27s | bluequbit] Repaired malformed JSON.
[23:13:32 +53m 27s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 19/22
[23:13:39 +53m 34s | bluequbit] Repaired malformed JSON.
[23:13:39 +53m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 20/22
[23:13:45 +53m 40s | bluequbit] Repaired malformed JSON.
[23:13:45 +53m 40s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 21/22
[23:13:52 +53m 47s | bluequbit] Repaired malformed JSON.
[23:13:52 +53m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/google-quantum-computer (34/46), chunk 22/22
[23:13:58 +53m 51s | bluequbit] Reading page (35/46): https://www.bluequbit.io/blog/quantum-computing-stocks
[23:13:58 +53m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 1/16
[23:14:02 +53m 55s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 2/16
[23:14:06 +53m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 3/16
[23:14:12 +54m 4s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 4/16
[23:14:18 +54m 11s | bluequbit] Repaired malformed JSON.
[23:14:18 +54m 11s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 5/16
[23:14:24 +54m 17s | bluequbit] Repaired malformed JSON.
[23:14:24 +54m 17s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 6/16
[23:14:35 +54m 25s | bluequbit] Repaired malformed JSON.
[23:14:35 +54m 25s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 7/16
[23:14:42 +54m 32s | bluequbit] Repaired malformed JSON.
[23:14:42 +54m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 8/16
[23:14:51 +54m 41s | bluequbit] Repaired malformed JSON.
[23:14:51 +54m 41s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 9/16
[23:14:58 +54m 49s | bluequbit] Repaired malformed JSON.
[23:14:58 +54m 49s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 10/16
[23:15:07 +54m 55s | bluequbit] Repaired malformed JSON.
[23:15:07 +54m 55s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 11/16
[23:15:15 +55m 2s | bluequbit] Repaired malformed JSON.
[23:15:15 +55m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 12/16
[23:15:23 +55m 10s | bluequbit] Repaired malformed JSON.
[23:15:23 +55m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 13/16
[23:15:29 +55m 17s | bluequbit] Repaired malformed JSON.
[23:15:29 +55m 17s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 14/16
[23:15:41 +55m 26s | bluequbit] Repaired malformed JSON.
[23:15:41 +55m 26s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 15/16
[23:15:50 +55m 35s | bluequbit] Repaired malformed JSON.
[23:15:50 +55m 35s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-stocks (35/46), chunk 16/16
[23:15:56 +55m 41s | bluequbit] Reading page (36/46): https://www.bluequbit.io/blog-author/hrant-gharibyan
[23:15:56 +55m 41s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/hrant-gharibyan (36/46), chunk 1/2
[23:16:03 +55m 48s | bluequbit] Repaired malformed JSON.
[23:16:03 +55m 48s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/hrant-gharibyan (36/46), chunk 2/2
[23:16:09 +55m 54s | bluequbit] Repaired malformed JSON.
[23:16:09 +55m 54s | bluequbit] Reading page (38/46): https://www.bluequbit.io/quantum-advantage-challenge
[23:16:09 +55m 54s | bluequbit] Extracting: https://www.bluequbit.io/quantum-advantage-challenge (38/46), chunk 1/10
[23:16:12 +55m 57s | bluequbit] Extracting: https://www.bluequbit.io/quantum-advantage-challenge (38/46), chunk 2/10
[23:16:19 +56m 2s | bluequbit] Extracting: https://www.bluequbit.io/quantum-advantage-challenge (38/46), chunk 3/10
[23:16:24 +56m 7s | bluequbit] Extracting: https://www.bluequbit.io/quantum-advantage-challenge (38/46), chunk 4/10
[23:16:34 +56m 16s | bluequbit] Repaired malformed JSON.
[23:16:34 +56m 16s | bluequbit] Extracting: https://www.bluequbit.io/quantum-advantage-challenge (38/46), chunk 5/10
[23:16:40 +56m 22s | bluequbit] Repaired malformed JSON.
