
========================================================================
RUN STARTED  2026-06-17 17:31:31
site_pipeline.py https://www.intel.com/content/www/us/en/research/quantum-computing.html
========================================================================

[17:31:31 +0s | intel_content_www_us_en_research_quantum_computing_html] === 0 crawl site ===
[17:31:34 +2s | intel_content_www_us_en_research_quantum_computing_html] [INIT].... → Crawl4AI 0.8.6 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 2.34s 
[21:03:00 +3h 31m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 4/41
[21:03:02 +3h 31m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 5/41
[21:03:10 +3h 31m 38s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 6/41
[21:03:19 +3h 31m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 7/41
[21:03:27 +3h 31m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 8/41
[21:03:31 +3h 31m 59s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 9/41
[21:03:35 +3h 32m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 10/41
[21:03:43 +3h 32m 11s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 11/41
[21:03:51 +3h 32m 19s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 12/41
[21:03:55 +3h 32m 24s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 13/41
[21:04:01 +3h 32m 30s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 14/41
[21:04:04 +3h 32m 33s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 15/41
[21:04:13 +3h 32m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 16/41
[21:04:23 +3h 32m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 17/41
[21:04:28 +3h 32m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 18/41
[21:04:36 +3h 33m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 19/41
[21:04:46 +3h 33m 14s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 20/41
[21:04:57 +3h 33m 26s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 21/41
[21:05:05 +3h 33m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 22/41
[21:05:09 +3h 33m 38s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 23/41
[21:05:16 +3h 33m 45s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 24/41
[21:05:23 +3h 33m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 25/41
[21:05:28 +3h 33m 57s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 26/41
[21:05:34 +3h 34m 2s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 27/41
[21:05:40 +3h 34m 9s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 28/41
[21:05:45 +3h 34m 14s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 29/41
[21:05:51 +3h 34m 20s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 30/41
[21:06:06 +3h 34m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 31/41
[21:06:16 +3h 34m 45s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 32/41
[21:06:23 +3h 34m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 33/41
[21:06:35 +3h 35m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 34/41
[21:06:42 +3h 35m 11s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 36/41
[21:06:55 +3h 35m 24s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 37/41
[21:07:08 +3h 35m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 38/41
[21:07:18 +3h 35m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 39/41
[21:07:22 +3h 35m 51s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 40/41
[21:07:26 +3h 35m 55s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2022 (25/133), chunk 41/41
[21:07:30 +3h 35m 59s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 4/15
[21:07:33 +3h 36m 2s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 5/15
[21:07:38 +3h 36m 7s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 6/15
[21:07:44 +3h 36m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 7/15
[21:07:52 +3h 36m 21s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 8/15
[21:08:01 +3h 36m 30s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 9/15
[21:08:10 +3h 36m 38s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 10/15
[21:08:12 +3h 36m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 11/15
[21:08:15 +3h 36m 44s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 13/15
[21:08:18 +3h 36m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 14/15
[21:08:23 +3h 36m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/benefits.html (26/133), chunk 15/15
[21:08:26 +3h 36m 55s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 12/28
[21:08:31 +3h 37m 0s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 13/28
[21:08:39 +3h 37m 8s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 14/28
[21:08:47 +3h 37m 16s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 18/28
[21:09:01 +3h 37m 30s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 19/28
[21:09:13 +3h 37m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 20/28
[21:09:41 +3h 38m 9s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 21/28
[21:09:54 +3h 38m 23s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 22/28
[21:10:05 +3h 38m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 23/28
[21:10:11 +3h 38m 39s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 24/28
[21:10:26 +3h 38m 55s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 26/28
[21:10:33 +3h 39m 2s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 27/28
[21:10:37 +3h 39m 6s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html (27/133), chunk 28/28
[21:10:40 +3h 39m 8s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 4/15
[21:10:52 +3h 39m 21s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 5/15
[21:11:02 +3h 39m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 6/15
[21:11:05 +3h 39m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 7/15
[21:11:16 +3h 39m 45s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 8/15
[21:11:20 +3h 39m 49s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 9/15
[21:11:23 +3h 39m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 10/15
[21:11:27 +3h 39m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 13/15
[21:11:31 +3h 40m 0s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 14/15
[21:11:34 +3h 40m 3s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/foundry/overview.html (28/133), chunk 15/15
[21:11:37 +3h 40m 6s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 1/14
[21:11:39 +3h 40m 7s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 2/14
[21:11:40 +3h 40m 9s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 3/14
[21:11:42 +3h 40m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 4/14
[21:11:44 +3h 40m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 5/14
[21:11:54 +3h 40m 22s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 6/14
[21:12:05 +3h 40m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 7/14
[21:12:13 +3h 40m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 8/14
[21:12:21 +3h 40m 50s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 9/14
[21:12:27 +3h 40m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 10/14
[21:12:37 +3h 41m 6s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 11/14
[21:12:46 +3h 41m 14s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 12/14
[21:12:49 +3h 41m 18s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 13/14
[21:12:52 +3h 41m 21s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/manufacturing (29/133), chunk 14/14
[21:12:56 +3h 41m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 1/38
[21:12:58 +3h 41m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 2/38
[21:12:59 +3h 41m 28s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 3/38
[21:13:01 +3h 41m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 4/38
[21:13:03 +3h 41m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 5/38
[21:13:07 +3h 41m 36s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 6/38
[21:13:24 +3h 41m 53s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 7/38
[21:13:29 +3h 41m 57s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 8/38
[21:13:33 +3h 42m 2s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 9/38
[21:13:43 +3h 42m 12s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 10/38
[21:13:56 +3h 42m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 11/38
[21:14:09 +3h 42m 38s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 12/38
[21:14:14 +3h 42m 43s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 13/38
[21:14:20 +3h 42m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 14/38
[21:14:29 +3h 42m 57s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 15/38
[21:14:38 +3h 43m 6s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 16/38
[21:14:46 +3h 43m 15s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 17/38
[21:14:56 +3h 43m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 18/38
[21:15:08 +3h 43m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 19/38
[21:15:16 +3h 43m 45s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 20/38
[21:15:27 +3h 43m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 21/38
[21:15:34 +3h 44m 3s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 22/38
[21:15:41 +3h 44m 9s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 26/38
[21:15:46 +3h 44m 15s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 27/38
[21:15:55 +3h 44m 24s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 28/38
[21:16:02 +3h 44m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 29/38
[21:16:12 +3h 44m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 30/38
[21:16:19 +3h 44m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 31/38
[21:16:32 +3h 45m 0s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 32/38
[21:16:36 +3h 45m 5s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 33/38
[21:16:42 +3h 45m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 34/38
[21:16:58 +3h 45m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 35/38
[21:17:09 +3h 45m 38s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 36/38
[21:17:12 +3h 45m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 37/38
[21:17:15 +3h 45m 44s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2023 (30/133), chunk 38/38
[21:17:18 +3h 45m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 5/17
[21:17:22 +3h 45m 50s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 6/17
[21:17:23 +3h 45m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 7/17
[21:17:38 +3h 46m 7s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 10/17
[21:17:41 +3h 46m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 11/17
[21:17:45 +3h 46m 14s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 12/17
[21:17:47 +3h 46m 15s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 13/17
[21:17:48 +3h 46m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://downloadcenter.intel.com (32/133), chunk 17/17
[21:17:54 +3h 46m 23s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/homepage.html (33/133), chunk 11/16
[21:17:59 +3h 46m 28s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/homepage.html (33/133), chunk 12/16
[21:18:04 +3h 46m 33s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/homepage.html (33/133), chunk 13/16
[21:18:12 +3h 46m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/homepage.html (33/133), chunk 14/16
[21:18:19 +3h 46m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/homepage.html (33/133), chunk 15/16
[21:18:25 +3h 46m 54s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/homepage.html (33/133), chunk 16/16
[21:18:28 +3h 46m 57s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/developer/overview.html (35/133), chunk 6/12
[21:18:36 +3h 47m 5s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/developer/overview.html (35/133), chunk 7/12
[21:18:41 +3h 47m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/developer/overview.html (35/133), chunk 10/12
[21:18:44 +3h 47m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/developer/overview.html (35/133), chunk 11/12
[21:18:49 +3h 47m 18s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/developer/overview.html (35/133), chunk 12/12
[21:18:51 +3h 47m 20s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/support.html (38/133), chunk 13/20
[21:18:55 +3h 47m 23s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/support.html (38/133), chunk 14/20
[21:19:00 +3h 47m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/support.html (38/133), chunk 19/20
[21:19:04 +3h 47m 33s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/support.html (38/133), chunk 20/20
[21:19:10 +3h 47m 39s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/support/contact-us.html (39/133), chunk 16/17
[21:19:15 +3h 47m 44s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.thailand.intel.com/content/www/th/th/support/contact-us.html (39/133), chunk 17/17
[21:19:20 +3h 47m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 5/12
[21:19:27 +3h 47m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 6/12
[21:19:34 +3h 48m 3s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 7/12
[21:19:45 +3h 48m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 8/12
[21:19:56 +3h 48m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 10/12
[21:20:00 +3h 48m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 11/12
[21:20:03 +3h 48m 32s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/jobs/life-at-intel.html (40/133), chunk 12/12
[21:20:09 +3h 48m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/download-center/home.html (41/133), chunk 5/12
[21:20:14 +3h 48m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/download-center/home.html (41/133), chunk 6/12
[21:20:19 +3h 48m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/download-center/home.html (41/133), chunk 7/12
[21:20:23 +3h 48m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting interactions: https://www.intel.com/content/www/us/en/download-center/home.html (41/133), chunk 10/12
