
========================================================================
RUN STARTED  2026-06-17 04:42:06
site_pipeline.py https://www.proteinqure.com/
========================================================================

[04:42:06 +0s | proteinqure] === 0 crawl site ===
[04:42:08 +2s | proteinqure] [INIT].... → Crawl4AI 0.8.6 
[04:42:09 +3s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 1.62s 
[05:23:14 +37m 52s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 4/6
[05:23:25 +38m 3s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 5/6
[05:23:36 +38m 14s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 6/6
[05:23:58 +38m 33s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/operations (22/41), chunk 1/2
[05:24:01 +38m 37s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/operations (22/41), chunk 2/2
[05:24:07 +38m 43s | proteinqure] Extracting interactions: https://www.proteinqure.com/company (24/41), chunk 5/5
[05:24:14 +38m 49s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/clinical (25/41), chunk 1/2
[05:24:20 +38m 53s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/clinical (25/41), chunk 2/2
[05:24:24 +38m 57s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 2/10
[05:24:27 +39m 0s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 3/10
[05:24:33 +39m 6s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 4/10
[05:24:40 +39m 13s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 5/10
[05:24:43 +39m 16s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 6/10
[05:24:46 +39m 19s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 7/10
[05:25:04 +39m 34s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 8/10
[05:25:12 +39m 43s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 9/10
[05:25:18 +39m 48s | proteinqure] Extracting interactions: https://proteinqure.com (26/41), chunk 10/10
[05:25:22 +39m 52s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/platform-software-engineering (27/41), chunk 1/2
[05:25:29 +39m 57s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/platform-software-engineering (27/41), chunk 2/2
[05:25:34 +40m 1s | proteinqure] Extracting interactions: https://proteinqure.com/careers (28/41), chunk 4/6
[05:25:37 +40m 4s | proteinqure] Extracting interactions: https://proteinqure.com/careers (28/41), chunk 5/6
[05:25:42 +40m 9s | proteinqure] Extracting interactions: https://proteinqure.com/careers (28/41), chunk 6/6
[05:25:47 +40m 15s | proteinqure] Extracting interactions: https://proteinqure.com/company (29/41), chunk 5/5
[05:25:53 +40m 21s | proteinqure] Extracting interactions: https://www.proteinqure.com/contact (30/41), chunk 2/4
[05:25:57 +40m 25s | proteinqure] Extracting interactions: https://www.proteinqure.com/contact (30/41), chunk 3/4
[05:26:00 +40m 28s | proteinqure] Extracting interactions: https://www.proteinqure.com/contact (30/41), chunk 4/4
[05:26:08 +40m 33s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/blog-posts (31/41), chunk 1/2
[05:26:12 +40m 36s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/blog-posts (31/41), chunk 2/2
[05:26:16 +40m 41s | proteinqure] Extracting interactions: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 6/8
[05:26:19 +40m 44s | proteinqure] Extracting interactions: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 7/8
[05:26:26 +40m 50s | proteinqure] Extracting interactions: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 8/8
[05:26:33 +40m 58s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 2/10
[05:26:36 +41m 1s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 3/10
[05:26:46 +41m 8s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 4/10
[05:26:52 +41m 14s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 5/10
[05:26:56 +41m 18s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 6/10
[05:27:00 +41m 22s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 7/10
[05:27:17 +41m 36s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 8/10
[05:27:28 +41m 47s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 9/10
[05:27:32 +41m 51s | proteinqure] Extracting interactions: https://www.proteinqure.com (33/41), chunk 10/10
[05:27:37 +41m 57s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 2/9
[05:27:42 +42m 1s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 3/9
[05:27:53 +42m 9s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 4/9
[05:27:59 +42m 15s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 5/9
[05:28:05 +42m 21s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 6/9
[05:28:11 +42m 27s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 7/9
[05:28:16 +42m 32s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 8/9
[05:28:19 +42m 35s | proteinqure] Extracting interactions: https://proteinqure.com/news (34/41), chunk 9/9
[05:28:27 +42m 40s | proteinqure] Extracting interactions: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 8/8
[05:28:34 +42m 48s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/machine-learning (36/41), chunk 1/2
[05:28:38 +42m 51s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/machine-learning (36/41), chunk 2/2
[05:28:43 +42m 56s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 2/6
[05:28:51 +43m 5s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 3/6
[05:29:17 +43m 27s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 4/6
[05:29:29 +43m 40s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 5/6
[05:29:38 +43m 46s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 6/6
[05:29:45 +43m 52s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 2/9
[05:29:48 +43m 55s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 3/9
[05:29:54 +44m 2s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 4/9
[05:29:59 +44m 6s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 5/9
[05:30:05 +44m 13s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 6/9
[05:30:14 +44m 19s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 7/9
[05:30:19 +44m 24s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 8/9
[05:30:24 +44m 28s | proteinqure] Extracting interactions: https://www.proteinqure.com/news (38/41), chunk 9/9
[05:30:29 +44m 33s | proteinqure] Extracting interactions: https://proteinqure.com/science (39/41), chunk 2/8
[05:30:33 +44m 37s | proteinqure] Extracting interactions: https://proteinqure.com/science (39/41), chunk 3/8
[05:30:36 +44m 40s | proteinqure] Extracting interactions: https://proteinqure.com/science (39/41), chunk 4/8
[05:30:39 +44m 44s | proteinqure] Extracting interactions: https://proteinqure.com/science (39/41), chunk 6/8
[05:30:46 +44m 47s | proteinqure] Extracting interactions: https://proteinqure.com/science (39/41), chunk 7/8
[05:30:51 +44m 53s | proteinqure] Extracting interactions: https://proteinqure.com/science (39/41), chunk 8/8
[05:30:56 +44m 58s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/view-all (40/41), chunk 1/2
[05:30:59 +45m 1s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/view-all (40/41), chunk 2/2
[05:31:05 +45m 6s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 1/7
[05:31:08 +45m 9s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 2/7
[05:31:15 +45m 16s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 3/7
[05:31:24 +45m 23s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 4/7
[05:31:29 +45m 27s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 5/7
[05:31:34 +45m 32s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 6/7
[05:31:38 +45m 36s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 7/7
[05:31:45 +45m 43s | proteinqure] Saved 3_interaction_results.json with 357 extracted interactions.

[05:31:45 +45m 43s | proteinqure] === 4 clean interactions ===
[05:31:45 +45m 43s | proteinqure] Saved 4_edges.json with 20 cleaned interactions.

[05:31:45 +45m 43s | proteinqure] === 5 helix enrichment ===
[05:31:45 +45m 43s | proteinqure] Wrote 5_nodes.json (62 actors)
[05:31:45 +45m 43s | proteinqure] Wrote 5_edges.json (20 interactions)
[05:31:45 +45m 43s | proteinqure] Actor helix counts: {'Academia': 13, 'Civil Society': 9, 'Government': 6, 'Industry': 12, 'Intermediary': 4, 'Unknown': 18}
[05:31:45 +45m 43s | proteinqure] Functional-space counts: {'Consensus': 16, 'Innovation': 3, 'Unknown': 1}

[05:31:45 +45m 43s | proteinqure] === 6 network visualisation ===
[05:31:46 +45m 44s | proteinqure] Wrote quantum_network.html
[05:31:46 +45m 44s | proteinqure] Nodes: 62
[05:31:46 +45m 44s | proteinqure] Edges: 10

[05:31:46 +45m 44s | proteinqure] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/site_outputs/proteinqure
[05:31:46 +45m 44s | proteinqure] Log: /home/lv/IDP/idpdeeptech/pipeline/site_outputs/proteinqure/run.log

========================================================================
RUN FINISHED 2026-06-17 05:31:46  (OK)
Started:     2026-06-17 04:42:06
Elapsed:     45m 44s
========================================================================
